user_input,response,file_name,producto,etapa,timestamp
Consulta del cliente 1,Respuesta generada por Gemini para la consulta 1,screenshot_1.jpg,Seguro de Hogar,Pago,2025-07-31T20:35:54
Consulta del cliente 2,Respuesta generada por Gemini para la consulta 2,screenshot_2.jpg,Seguro de Hogar,Pago,2025-07-03T19:37:54
Consulta del cliente 3,Respuesta generada por Gemini para la consulta 3,screenshot_3.jpg,Seguro de Salud,Finalizado,2025-07-04T22:35:54
Consulta del cliente 4,Respuesta generada por Gemini para la consulta 4,screenshot_4.jpg,Seguro de Vida,Confirmación,2025-07-29T01:28:54
Consulta del cliente 5,Respuesta generada por Gemini para la consulta 5,screenshot_5.jpg,Seguro de Salud,Finalizado,2025-07-10T09:10:54
Consulta del cliente 6,Respuesta generada por Gemini para la consulta 6,screenshot_6.jpg,Seguro de Vida,Confirmación,2025-07-29T06:03:54
Consulta del cliente 7,Respuesta generada por Gemini para la consulta 7,screenshot_7.jpg,Seguro de Salud,Pago,2025-07-16T01:45:54
Consulta del cliente 8,Respuesta generada por Gemini para la consulta 8,screenshot_8.jpg,Seguro de Hogar,Confirmación,2025-07-13T08:09:54
Consulta del cliente 9,Respuesta generada por Gemini para la consulta 9,screenshot_9.jpg,Seguro de Vida,Finalizado,2025-07-17T14:12:54
Consulta del cliente 10,Respuesta generada por Gemini para la consulta 10,screenshot_10.jpg,Seguro de Salud,Cotización,2025-07-07T11:09:54
Consulta del cliente 11,Respuesta generada por Gemini para la consulta 11,screenshot_11.jpg,Seguro de Auto,Cotización,2025-07-09T16:22:54
Consulta del cliente 12,Respuesta generada por Gemini para la consulta 12,screenshot_12.jpg,Seguro de Auto,Finalizado,2025-07-17T18:52:54
Consulta del cliente 13,Respuesta generada por Gemini para la consulta 13,screenshot_13.jpg,Seguro de Salud,Cotización,2025-07-26T10:53:54
Consulta del cliente 14,Respuesta generada por Gemini para la consulta 14,screenshot_14.jpg,Seguro de Vida,Formulario,2025-07-07T11:39:54
Consulta del cliente 15,Respuesta generada por Gemini para la consulta 15,screenshot_15.jpg,Seguro de Auto,Cotización,2025-07-22T12:08:54
Consulta del cliente 16,Respuesta generada por Gemini para la consulta 16,screenshot_16.jpg,Seguro de Hogar,Cotización,2025-07-23T11:49:54
Consulta del cliente 17,Respuesta generada por Gemini para la consulta 17,screenshot_17.jpg,Seguro de Auto,Finalizado,2025-07-22T11:54:54
Consulta del cliente 18,Respuesta generada por Gemini para la consulta 18,screenshot_18.jpg,Seguro de Salud,Pago,2025-07-30T09:16:54
Consulta del cliente 19,Respuesta generada por Gemini para la consulta 19,screenshot_19.jpg,Seguro de Hogar,Confirmación,2025-07-14T21:49:54
Consulta del cliente 20,Respuesta generada por Gemini para la consulta 20,screenshot_20.jpg,Seguro de Vida,Formulario,2025-07-07T00:05:54
Consulta del cliente 21,Respuesta generada por Gemini para la consulta 21,screenshot_21.jpg,Seguro de Salud,Pago,2025-07-31T02:24:54
Consulta del cliente 22,Respuesta generada por Gemini para la consulta 22,screenshot_22.jpg,Seguro de Vida,Formulario,2025-07-04T03:14:54
Consulta del cliente 23,Respuesta generada por Gemini para la consulta 23,screenshot_23.jpg,Seguro de Auto,Finalizado,2025-07-11T16:14:54
Consulta del cliente 24,Respuesta generada por Gemini para la consulta 24,screenshot_24.jpg,Seguro de Salud,Finalizado,2025-07-07T21:13:54
Consulta del cliente 25,Respuesta generada por Gemini para la consulta 25,screenshot_25.jpg,Seguro de Vida,Finalizado,2025-07-06T15:30:54
Consulta del cliente 26,Respuesta generada por Gemini para la consulta 26,screenshot_26.jpg,Seguro de Salud,Pago,2025-07-17T07:26:54
Consulta del cliente 27,Respuesta generada por Gemini para la consulta 27,screenshot_27.jpg,Seguro de Salud,Cotización,2025-07-22T10:00:54
Consulta del cliente 28,Respuesta generada por Gemini para la consulta 28,screenshot_28.jpg,Seguro de Hogar,Finalizado,2025-07-12T18:13:54
Consulta del cliente 29,Respuesta generada por Gemini para la consulta 29,screenshot_29.jpg,Seguro de Vida,Formulario,2025-08-01T05:50:54
Consulta del cliente 30,Respuesta generada por Gemini para la consulta 30,screenshot_30.jpg,Seguro de Auto,Formulario,2025-07-21T23:46:54
Consulta del cliente 31,Respuesta generada por Gemini para la consulta 31,screenshot_31.jpg,Seguro de Hogar,Cotización,2025-07-30T00:13:54
Consulta del cliente 32,Respuesta generada por Gemini para la consulta 32,screenshot_32.jpg,Seguro de Vida,Cotización,2025-07-06T10:27:54
Consulta del cliente 33,Respuesta generada por Gemini para la consulta 33,screenshot_33.jpg,Seguro de Auto,Cotización,2025-07-29T08:55:54
Consulta del cliente 34,Respuesta generada por Gemini para la consulta 34,screenshot_34.jpg,Seguro de Auto,Pago,2025-07-30T17:14:54
Consulta del cliente 35,Respuesta generada por Gemini para la consulta 35,screenshot_35.jpg,Seguro de Auto,Cotización,2025-07-14T04:55:54
Consulta del cliente 36,Respuesta generada por Gemini para la consulta 36,screenshot_36.jpg,Seguro de Vida,Cotización,2025-07-17T22:21:54
Consulta del cliente 37,Respuesta generada por Gemini para la consulta 37,screenshot_37.jpg,Seguro de Auto,Cotización,2025-07-15T15:28:54
Consulta del cliente 38,Respuesta generada por Gemini para la consulta 38,screenshot_38.jpg,Seguro de Auto,Confirmación,2025-07-30T22:03:54
Consulta del cliente 39,Respuesta generada por Gemini para la consulta 39,screenshot_39.jpg,Seguro de Salud,Confirmación,2025-07-20T00:04:54
Consulta del cliente 40,Respuesta generada por Gemini para la consulta 40,screenshot_40.jpg,Seguro de Hogar,Cotización,2025-07-14T01:23:54
Consulta del cliente 41,Respuesta generada por Gemini para la consulta 41,screenshot_41.jpg,Seguro de Hogar,Formulario,2025-07-24T17:10:54
